fight_id,event_date,weight_class,outcome,fighter_a_name,fighter_b_name,fighter_a_age,fighter_a_height,fighter_a_reach,fighter_a_weight,fighter_a_control_time_per_fight,fighter_b_age,fighter_b_height,fighter_b_reach,fighter_b_weight,fighter_b_control_time_per_fight,fighter_a_reversals,fighter_a_round1_control_time,fighter_a_round1_reversals,fighter_a_round1_sig_strikes_landed,fighter_a_round1_sig_strikes_attempted,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_a_distance_strikes_landed,fighter_a_distance_strikes_attempted,fighter_a_clinch_strikes_landed,fighter_a_clinch_strikes_attempted,fighter_a_ground_strikes_landed,fighter_a_ground_strikes_attempted,fighter_b_reversals,fighter_b_round1_control_time,fighter_b_round1_reversals,fighter_b_round1_sig_strikes_landed,fighter_b_round1_sig_strikes_attempted,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted,fighter_b_distance_strikes_landed,fighter_b_distance_strikes_attempted,fighter_b_clinch_strikes_landed,fighter_b_clinch_strikes_attempted,fighter_b_ground_strikes_landed,fighter_b_ground_strikes_attempted,fighter_a_sig_strikes_landed,fighter_a_sig_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_control_time,fighter_a_knockdowns,fighter_a_submission_attempts,fighter_a_fight_minutes,fighter_b_sig_strikes_landed,fighter_b_sig_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_control_time,fighter_b_knockdowns,fighter_b_submission_attempts,fighter_b_fight_minutes,reach_diff,age_diff,method,A_open_odds,B_open_odds,A_open_prob,B_open_prob,opening_odds_diff,implied_prob_A
10a57b983e59f727,"December 06, 2025",Lightweight,0,Nazim Sadykhov,Fares Ziam,31.6,70.0,69.0,155.0,3.906510851419032,28.7,73.0,75.0,155.0,35.85976627712855,0.0,22.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,3.0,5.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,8.0,10.0,21.0,36.0,2.0,3.0,8.0,10.0,18.0,31.0,4.0,5.0,9.0,13.0,4.0,16.0,0.0,2.0,39.0,0.0,0.0,9.983333333333333,31.0,49.0,2.0,5.0,358.0,1.0,2.0,9.983333333333333,-6.0,2.900000000000002,KO/TKO,,,,,,
3c683da1924b6c44,"December 06, 2025",Middleweight,0,Marvin Vettori,Brunno Ferreira,32.2,72.0,74.0,185.0,4.533333333333333,33.1,70.0,72.0,185.0,0.3333333333333333,0.0,4.0,0.0,27.0,49.0,78.0,176.0,1.0,1.0,9.0,9.0,86.0,181.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,25.0,47.0,60.0,130.0,9.0,10.0,8.0,9.0,73.0,143.0,3.0,3.0,1.0,3.0,88.0,186.0,1.0,4.0,68.0,0.0,0.0,15.0,77.0,149.0,1.0,7.0,5.0,0.0,0.0,15.0,2.0,-0.8999999999999986,Decision - Unanimous,,,,,,
7af407397532f7cf,"December 06, 2025",Lightweight,0,Edson Barboza,Jalin Turner,39.9,71.0,75.0,155.0,2.916666666666667,30.6,75.0,77.0,155.0,15.833333333333334,1.0,7.0,1.0,10.0,20.0,4.0,14.0,4.0,4.0,2.0,2.0,10.0,19.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,39.0,66.0,29.0,55.0,8.0,9.0,2.0,2.0,33.0,53.0,5.0,10.0,1.0,3.0,10.0,20.0,0.0,0.0,7.0,0.0,0.0,2.4,39.0,66.0,0.0,0.0,38.0,2.0,0.0,2.4,-2.0,9.299999999999995,KO/TKO,,,,,,
ea660db65bfa998f,"December 06, 2025",Light Heavyweight,1,Iwo Baraniewski,Ibo Aslan,27.1,72.0,73.0,205.0,7.415730337078651,29.7,75.0,77.0,205.0,4.044943820224719,0.0,11.0,0.0,22.0,32.0,18.0,27.0,3.0,4.0,1.0,1.0,6.0,14.0,6.0,6.0,10.0,12.0,0.0,6.0,0.0,30.0,53.0,29.0,47.0,0.0,4.0,1.0,2.0,19.0,35.0,11.0,18.0,0.0,0.0,22.0,32.0,0.0,1.0,11.0,2.0,0.0,1.4833333333333334,30.0,53.0,0.0,1.0,6.0,1.0,0.0,1.4833333333333334,-4.0,-2.599999999999998,KO/TKO,,,,,,
964ea1777695851b,"December 06, 2025",Middleweight,1,Mansur Abdul-Malik,Antonio Trocoli,28.2,74.0,80.0,185.0,36.52173913043479,35.0,77.0,80.0,185.0,0.0,0.0,42.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,42.0,0.0,1.0,1.15,3.0,6.0,0.0,1.0,0.0,0.0,0.0,1.15,0.0,-6.800000000000001,Submission,-800.0,550.0,0.8888888888888888,0.1538461538461538,0.735042735042735,0.8888888888888888
40fa4f8b4b93884e,"December 06, 2025",Featherweight,0,Muhammad Naimov,Mairon Santos,31.4,69.0,70.0,145.0,12.367149758454106,25.5,67.0,72.0,145.0,4.541062801932367,0.0,60.0,0.0,11.0,18.0,7.0,29.0,6.0,10.0,5.0,9.0,13.0,40.0,5.0,8.0,0.0,0.0,0.0,19.0,0.0,7.0,15.0,11.0,27.0,8.0,10.0,8.0,8.0,19.0,34.0,7.0,8.0,1.0,3.0,18.0,48.0,0.0,5.0,128.0,0.0,0.0,10.35,27.0,45.0,0.0,1.0,47.0,1.0,0.0,10.35,-2.0,5.899999999999999,KO/TKO,130.0,-150.0,0.4347826086956521,0.6,-0.1652173913043478,0.4347826086956521
5f5b626e67529056,"November 22, 2025",Lightweight,1,Arman Tsarukyan,Dan Hooker,29.2,67.0,72.0,155.0,42.2568093385214,35.8,72.0,75.0,155.0,1.1673151750972763,0.0,196.0,0.0,19.0,30.0,33.0,49.0,3.0,5.0,6.0,6.0,18.0,31.0,2.0,2.0,22.0,27.0,0.0,10.0,0.0,5.0,20.0,3.0,20.0,6.0,12.0,1.0,1.0,9.0,30.0,1.0,3.0,0.0,0.0,42.0,60.0,2.0,4.0,362.0,0.0,1.0,8.566666666666666,10.0,33.0,0.0,0.0,10.0,0.0,2.0,8.566666666666666,-3.0,-6.599999999999998,Submission,-310.0,260.0,0.7560975609756098,0.2777777777777778,0.4783197831978319,0.7560975609756098
b2218930b982d9b6,"November 22, 2025",Welterweight,0,Belal Muhammad,Ian Machado Garry,37.4,71.0,72.0,170.0,14.333333333333334,28.1,75.0,74.0,170.0,2.6,0.0,40.0,0.0,24.0,57.0,45.0,126.0,8.0,9.0,3.0,4.0,52.0,131.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,27.0,53.0,35.0,98.0,10.0,15.0,27.0,28.0,66.0,134.0,6.0,7.0,0.0,0.0,56.0,139.0,0.0,7.0,215.0,0.0,0.0,15.0,72.0,141.0,0.0,2.0,39.0,0.0,0.0,15.0,-2.0,9.299999999999995,Decision - Unanimous,155.0,-180.0,0.392156862745098,0.6428571428571429,-0.2507002801120448,0.392156862745098
870d374f8d9af65a,"November 22, 2025",Light Heavyweight,1,Volkan Oezdemir,Alonzo Menifield,36.2,74.0,75.0,205.0,0.0,38.2,72.0,76.0,205.0,0.0,0.0,0.0,0.0,13.0,35.0,12.0,33.0,0.0,1.0,1.0,1.0,13.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,5.0,1.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,13.0,35.0,0.0,0.0,0.0,1.0,0.0,1.45,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.45,-1.0,-2.0,KO/TKO,-350.0,285.0,0.7777777777777778,0.2597402597402597,0.5180375180375181,0.7777777777777778
8ed609d80e135d94,"November 22, 2025",Welterweight,0,Jack Hermansson,Myktybek Orolbai,37.5,73.0,77.0,170.0,0.0,27.9,70.0,74.0,170.0,1.0843373493975903,0.0,0.0,0.0,19.0,38.0,9.0,25.0,5.0,8.0,5.0,5.0,17.0,36.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,15.0,33.0,9.0,25.0,3.0,5.0,3.0,3.0,13.0,31.0,1.0,1.0,1.0,1.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,2.7666666666666666,15.0,33.0,0.0,0.0,3.0,1.0,0.0,2.7666666666666666,3.0,9.6,KO/TKO,180.0,-210.0,0.3571428571428571,0.6774193548387096,-0.3202764976958525,0.3571428571428571
